_source_dataset,_source_pdf,_source_page,_source_table,Número de Contrato,Contratista,Fecha de Otorgación,Fecha de Inicio,Fecha de Terminación,Cuantía,Tipo de Servicio,Comentarios
ACT_2020,Contratos_Vigentes_ACT.pdf,1,1,1992-000228 C,"AUTOPISTAS DE PUERTO RICO Y COMPAÑIA, S.E.",03/09/2009,20/12/1991,22/02/2044,$0.00,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,
ACT_2020,Contratos_Vigentes_ACT.pdf,1,1,1992-000228 D,"AUTOPISTAS DE PUERTO RICO Y COMPAÑIA, S.E.",31/03/2011,20/12/1991,22/02/2044,$0.00,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,
ACT_2020,Contratos_Vigentes_ACT.pdf,1,1,2003-000039 I,L. P. C. and D. Inc.,22/07/2020,22/07/2020,18/01/2021,$0.00,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,
ACT_2020,Contratos_Vigentes_ACT.pdf,1,1,2004-000336 AL,"FERROVIAL- AGROMAN, SA",22/07/2020,22/07/2020,18/01/2021,$0.00,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,
ACT_2020,Contratos_Vigentes_ACT.pdf,1,1,2006-000206,"AUTOPISTAS DE PUERTO RICO Y COMPAÑIA, S.E.",10/04/2006,10/04/2006,20/03/2027,"$979,208.00",SERVICIOS TÉCNICOS,
ACT_2020,Contratos_Vigentes_ACT.pdf,1,1,2009-000001 BM,"FERROVIAL AGROMAN, S.A.",22/07/2020,22/07/2020,18/01/2021,$0.00,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,
ACT_2020,Contratos_Vigentes_ACT.pdf,1,1,2009-000063 AX,"LPC & D, INC",22/07/2020,22/07/2020,18/01/2021,$0.00,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,
ACT_2020,Contratos_Vigentes_ACT.pdf,1,1,2009-000203,"GRUPO DE DESARROLLO LOS ALTOS SAN JUAN, INC.",30/12/2008,30/12/2008,30/12/2058,"$23,427,340.00","COMPRA, VENTA, ALQUILER Y/O DESARROLLO DE INMUEBLES",
ACT_2020,Contratos_Vigentes_ACT.pdf,1,1,2009-000205 AL,"FERROVIAL AGROMAN, S.A.",22/07/2020,22/07/2020,18/01/2021,$0.00,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,
ACT_2020,Contratos_Vigentes_ACT.pdf,1,1,2011-000013 AS,"LPC & D, INC",22/07/2020,22/07/2020,18/01/2021,$0.00,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,
