contract_id,vendor_name,vendor_normalized,contract_type,contract_value,award_date,start_date,end_date,status,description,municipality,agency,source_file,concessionaire,project_hint,spatial_extent,source_page
1992-000228 C,"AUTOPISTAS DE PUERTO RICO Y COMPAÑIA, S.E.",AUTOPISTAS DE PUERTO RICO Y COMPAÑIA S E,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,0.00,03/09/2009,20/12/1991,22/02/2044,active_at_transition,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,,Autoridad de Carreteras y Transportación (ACT),Contratos_Vigentes_ACT.pdf,Autopistas de Puerto Rico y Compañía,Teodoro Moscoso Bridge toll concession,site,1
1992-000228 D,"AUTOPISTAS DE PUERTO RICO Y COMPAÑIA, S.E.",AUTOPISTAS DE PUERTO RICO Y COMPAÑIA S E,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,0.00,31/03/2011,20/12/1991,22/02/2044,active_at_transition,CONSTRUCCION Y REPARACION DE VIAS PUBLICAS,,Autoridad de Carreteras y Transportación (ACT),Contratos_Vigentes_ACT.pdf,Autopistas de Puerto Rico y Compañía,Teodoro Moscoso Bridge toll concession,site,1
2006-000206,"AUTOPISTAS DE PUERTO RICO Y COMPAÑIA, S.E.",AUTOPISTAS DE PUERTO RICO Y COMPAÑIA S E,SERVICIOS TÉCNICOS,979208.00,10/04/2006,10/04/2006,20/03/2027,active_at_transition,SERVICIOS TÉCNICOS,,Autoridad de Carreteras y Transportación (ACT),Contratos_Vigentes_ACT.pdf,Autopistas de Puerto Rico y Compañía,Teodoro Moscoso Bridge toll concession,site,1
2011-000188,"AUTOPISTAS METROPOLITANAS DE PUERTO RICO, LLC",AUTOPISTAS METROPOLITANAS DE PUERTO RICO,SERVICIOS PERSONALES NO PROFESIONALES,1146160000.00,27/06/2011,26/09/2011,26/09/2051,active_at_transition,SERVICIOS PERSONALES NO PROFESIONALES,,Autoridad de Carreteras y Transportación (ACT),Contratos_Vigentes_ACT.pdf,Autopistas Metropolitanas de Puerto Rico,PR-22 and PR-5 toll road concession,corridor,1
2011-000188 A,"AUTOPISTAS METROPOLITANAS DE PUERTO RICO, LLC",AUTOPISTAS METROPOLITANAS DE PUERTO RICO,SERVICIOS PERSONALES NO PROFESIONALES,0.00,19/09/2011,26/09/2011,26/09/2051,active_at_transition,SERVICIOS PERSONALES NO PROFESIONALES,,Autoridad de Carreteras y Transportación (ACT),Contratos_Vigentes_ACT.pdf,Autopistas Metropolitanas de Puerto Rico,PR-22 and PR-5 toll road concession,corridor,1
2011-000188 B,"AUTOPISTAS METROPOLITANAS DE PUERTO RICO, LLC",AUTOPISTAS METROPOLITANAS DE PUERTO RICO,SERVICIOS PERSONALES NO PROFESIONALES,0.00,23/03/2012,28/03/2012,26/09/2051,active_at_transition,SERVICIOS PERSONALES NO PROFESIONALES,,Autoridad de Carreteras y Transportación (ACT),Contratos_Vigentes_ACT.pdf,Autopistas Metropolitanas de Puerto Rico,PR-22 and PR-5 toll road concession,corridor,1
2011-000188 C,"AUTOPISTAS METROPOLITANAS DE PUERTO RICO, LLC",AUTOPISTAS METROPOLITANAS DE PUERTO RICO,SERVICIOS PERSONALES NO PROFESIONALES,0.00,14/11/2012,14/11/2012,26/09/2051,active_at_transition,SERVICIOS PERSONALES NO PROFESIONALES,,Autoridad de Carreteras y Transportación (ACT),Contratos_Vigentes_ACT.pdf,Autopistas Metropolitanas de Puerto Rico,PR-22 and PR-5 toll road concession,corridor,1
2011-000188 D,"AUTOPISTAS METROPOLITANAS DE PUERTO RICO, LLC",AUTOPISTAS METROPOLITANAS DE PUERTO RICO,SERVICIOS PERSONALES NO PROFESIONALES,0.00,04/02/2015,04/02/2015,26/09/2051,active_at_transition,SERVICIOS PERSONALES NO PROFESIONALES,,Autoridad de Carreteras y Transportación (ACT),Contratos_Vigentes_ACT.pdf,Autopistas Metropolitanas de Puerto Rico,PR-22 and PR-5 toll road concession,corridor,1
2011-000188 E,"AUTOPISTAS METROPOLITANAS DE PUERTO RICO, LLC",AUTOPISTAS METROPOLITANAS DE PUERTO RICO,SERVICIOS PERSONALES NO PROFESIONALES,115000000.00,19/04/2016,19/04/2016,26/09/2051,active_at_transition,SERVICIOS PERSONALES NO PROFESIONALES,,Autoridad de Carreteras y Transportación (ACT),Contratos_Vigentes_ACT.pdf,Autopistas Metropolitanas de Puerto Rico,PR-22 and PR-5 toll road concession,corridor,1
2012-000051,"AUTOPISTAS METROPOLITANAS DE PUERTO RICO, LLC",AUTOPISTAS METROPOLITANAS DE PUERTO RICO,ACUERDOS FINANCIEROS Y NO FINANCIEROS,1136160000.00,22/09/2011,22/09/2011,22/09/2051,active_at_transition,ACUERDOS FINANCIEROS Y NO FINANCIEROS,,Autoridad de Carreteras y Transportación (ACT),Contratos_Vigentes_ACT.pdf,Autopistas Metropolitanas de Puerto Rico,PR-22 and PR-5 toll road concession,corridor,2
