node,node_type,degree,in_degree,out_degree,pagerank,betweenness
Department of Defense,agency,1900,1900,0,0.130245,1.554231538751208e+33
Department of Veterans Affairs,agency,1037,1037,0,0.074453,4.529985
Department of Homeland Security,agency,1206,1206,0,0.072833,3936861711957.8296
Department of Agriculture,agency,684,684,0,0.042014,25298435.142897
Department of Justice,agency,687,687,0,0.038148,196.946628
Department of the Interior,agency,387,387,0,0.021645,1650.59535
Department of Transportation,agency,288,288,0,0.020204,0.053069
General Services Administration,agency,292,292,0,0.016559,0.040508
Department of Health and Human Services,agency,173,173,0,0.009627,1.039396
Social Security Administration,agency,65,65,0,0.00485,0.010892
Department of Commerce,agency,94,94,0,0.004584,0.013749
Department of the Treasury,agency,71,71,0,0.002487,0.055203
Environmental Protection Agency,agency,32,32,0,0.002141,0.004146
Department of State,agency,33,33,0,0.001777,0.003657
Department of Labor,agency,33,33,0,0.00135,0.004207
Department of Housing and Urban Development,agency,22,22,0,0.001203,0.006558
Smithsonian Institution,agency,10,10,0,0.000689,0.001317
Equal Employment Opportunity Commission,agency,6,6,0,0.000481,0.000756
U.S. Agency for Global Media,agency,4,4,0,0.000462,0.0
National Science Foundation,agency,5,5,0,0.000381,0.000564
Consumer Product Safety Commission,agency,3,3,0,0.000373,0.0
Department of Education,agency,11,11,0,0.000317,0.001271
Small Business Administration,agency,4,4,0,0.00029,0.0
Department of Energy,agency,2,2,0,0.000219,0.000188
National Aeronautics and Space Administration,agency,5,5,0,0.000215,0.000189
Corporation for National and Community Service,agency,4,4,0,0.000213,0.0
Federal Communications Commission,agency,2,2,0,0.000195,0.000189
National Mediation Board,agency,1,1,0,0.000195,0.0
Consumer Financial Protection Bureau,agency,1,1,0,0.000195,0.0
National Labor Relations Board,agency,1,1,0,0.000195,0.0
