relative_path,presence,rows,claimed_by,classification
data/staging/processed/execution/execution_chain_master.csv,disk,5989,usaspending_subawards,claimed
data/staging/processed/graph/entity_edges.csv,disk,144,,derived
data/staging/processed/graph/top_nodes.csv,disk,26,,derived
data/staging/processed/risk/entity_risk_scores.csv,disk,1,,derived
data/staging/processed/risk/municipality_risk_scores.csv,disk,2,,derived
data/staging/processed/risk/project_risk_scores.csv,disk,1,,derived
data/staging/processed/risk/risk_signals_master.csv,disk,5,,derived
data/staging/processed/entities_resolved.csv,manifest_only,2372,sam_entities,claimed
data/staging/processed/high_value_unresolved.csv,manifest_only,1104,,orphan
data/staging/processed/lda_registrants.csv,manifest_only,17369,lda,claimed
data/staging/processed/normalized_expansion_dod_upr_2001_2015.csv,manifest_only,100,,intermediate
data/staging/processed/normalized_expansion_dod_upr_2016_2025.csv,manifest_only,300,,intermediate
data/staging/processed/normalized_expansion_fpds_2005_2008_direct.csv,manifest_only,1800,,intermediate
data/staging/processed/normalized_expansion_fpds_2005_2008_vendor.csv,manifest_only,2700,,intermediate
data/staging/processed/normalized_expansion_fpds_2009_2016_direct.csv,manifest_only,500,,intermediate
data/staging/processed/normalized_expansion_fpds_2009_2016_vendor.csv,manifest_only,200,,intermediate
data/staging/processed/normalized_expansion_fpds_2017_2025_direct.csv,manifest_only,1100,,intermediate
data/staging/processed/normalized_expansion_fpds_2017_2025_vendor.csv,manifest_only,400,,intermediate
data/staging/processed/normalized_expansion_reconstruction_2017_2025.csv,manifest_only,200,,intermediate
data/staging/processed/parent_conflict_queue.csv,manifest_only,0,,empty
data/staging/processed/pr_cdbg_dr_master.csv,manifest_only,3808,hud_cdbg_dr_public,claimed
data/staging/processed/pr_contracts_master.csv,manifest_only,5147,usaspending_prime,claimed
data/staging/processed/pr_cor3_projects.csv,manifest_only,0,cor3,claimed
data/staging/processed/pr_emma_bonds.csv,manifest_only,20,emma_bonds,claimed
data/staging/processed/pr_emma_underwriters.csv,manifest_only,15,emma_bonds,claimed
data/staging/processed/pr_fec_contributions.csv,manifest_only,1049,fec,claimed
data/staging/processed/pr_fema_hmgp_master.csv,manifest_only,0,fema_hmgp,claimed
data/staging/processed/pr_fema_pa_master.csv,manifest_only,2000,fema_pa_openfema_v2,claimed
data/staging/processed/pr_fsrs_subawards.csv,manifest_only,5989,fsrs_subawards,claimed
data/staging/processed/pr_lda_filings.csv,manifest_only,2670,lda,claimed
data/staging/processed/pr_subawards_master.csv,manifest_only,5989,usaspending_subawards,claimed
data/staging/processed/vendor_targets.csv,manifest_only,1458,,intermediate
