source_id,classification,inclusion_decision,absolute_source_path,target_relpath,exists,byte_size,sha256,logical_rows,staged,blocker_classification_note
fema_pa_openfema_v2,FOUND,manifest_only_existing_processed_input,/Users/jotaele/Documents/Financials/COR3_Recovery/contractdata/data/staging/processed/pr_fema_pa_master.csv,,True,5118438,5983e2eb57cbe6e73cf1f331dbaba6abd46e9b31c414b843031c10f1da19222e,21868,False,COR3/FEMA recovery evidence found; existing producer output shape.
hud_cdbg_dr_public,FOUND,manifest_only_existing_processed_input,/Users/jotaele/Documents/Financials/COR3_Recovery/contractdata/data/staging/processed/pr_cdbg_dr_master.csv,,True,2707911,18e33b1d79024e302d6e0f1ae272c3dcd621b6ae70316857289b886a4089404e,3808,False,Public CDBG-DR evidence found; not equivalent to authorized DRGR.
hud_cdbg_dr_public,FOUND,manifest_only_raw_support,/Users/jotaele/Documents/Financials/COR3_Recovery/contractdata/data/staging/raw/cdbg_dr/cdbg_dr_usaspending.csv,,True,2856106,8f8725e16293c9e8cd768744cbd148ef173396bee4e871fecdc4130f12f98914,3805,False,Raw CDBG-DR USAspending support.
cor3,FOUND,stage_for_existing_dropzone,/Users/jotaele/Documents/Financials/COR3 Data/COR3 PA_110726_0836.xlsx,data/raw/COR3/COR3 PA_110726_0836.xlsx,True,18509962,141f6231624117e7d130369b05d67ac432c40eec80152d7f4a0c4e14085ea57e,,True,"COR3 workbook found; filename mismatch is recorded, not hidden."
cor3,FOUND,stage_for_existing_dropzone,/Users/jotaele/Documents/Financials/COR3 Data/COR3 HMGP_110726_0836.xlsx,data/raw/COR3/COR3 HMGP_110726_0836.xlsx,True,522160,ebcd061826239a6db97c5b04fd4f5f954f247b31008e1848dd62065853a20eba,,True,"COR3 workbook found; filename mismatch is recorded, not hidden."
cor3,FOUND,stage_for_existing_dropzone,/Users/jotaele/Documents/Financials/COR3 Data/COR3 DISBURSEMENT_110726_0824.xlsx,data/raw/COR3/COR3 DISBURSEMENT_110726_0824.xlsx,True,19338,ec096274adebba20ed344069b8c26b6eda580c8debb8f1dccb684d4d9b1f1602,,True,"COR3 workbook found; filename mismatch is recorded, not hidden."
cor3,FOUND,stage_for_existing_dropzone,/Users/jotaele/Documents/Financials/COR3 Data/COR3 Procurement Inventory_110726_0841.xlsx,data/raw/COR3/COR3 Procurement Inventory_110726_0841.xlsx,True,689892,24bb9ea212eb5d5fc984e15e12b0fe01d9b1a50f0572117581d9a35c07fb45fa,,True,"COR3 workbook found; filename mismatch is recorded, not hidden."
cor3,FOUND,stage_for_existing_dropzone,/Users/jotaele/Documents/Financials/COR3 Data/COR3 RFP and Contracts_110726_0810.xlsx,data/raw/COR3/COR3 RFP and Contracts_110726_0810.xlsx,True,222645,608efb628ef7f475127ae838660221d37dfe413d41c7eb03f2fcae328d6c30d3,,True,"COR3 workbook found; filename mismatch is recorded, not hidden."
pr_cabilderos,FOUND,stage_for_existing_dropzone,/Users/jotaele/Documents/Financials/Consolidated/contracts/pr_lda_filings.csv,data/raw/Cabilderos/pr_lda_filings.csv,True,862476,0d72f7e2c5af83499a4021fc701f4f8779de289f5263db7ddeb4848be2bbd8ba,2668,True,Cabilderos/LDA rows found; registry-specific identity still downstream.
oficina_contralor,FOUND,stage_for_existing_dropzone,/Users/jotaele/Documents/Financials/Consolidated/contracts/pr_contralor_audits.csv,data/raw/Oficina del Contralor/pr_contralor_audits.csv,True,9257,817c6f159a2392f98aaf55fe625290ca75f9fd462e0d6356db48880d9912bf2e,85,True,Contralor audit rows found.
oce,FOUND,stage_for_existing_dropzone,/Users/jotaele/Documents/Financials/Consolidated/financial/pr_oce_donations.csv,data/raw/OCE/pr_oce_donations.csv,True,706710,6490e8380a6eb827683d05f9a6912ecfaa6ffa570cd731060eb4d7c5e125ec48,6480,True,OCE donation rows found.
donaciones,FOUND,stage_for_existing_dropzone,/Users/jotaele/Documents/Financials/Consolidated/financial/pr_donaciones.csv,data/raw/Donaciones/pr_donaciones.csv,True,497369,003685dd0a9ad824917e48e05acee3d87957e822e0bf021ed8bf25687b22a8ec,4579,True,CEE/CEEPUR donation rows found.
prasa,PARTIAL,manifest_only_documentary_support,/Users/jotaele/Documents/Financials/Documents/contractdata/data/staging/processed/pr_prasa_contracts.csv,,True,146,1ed890263aec8cb89d5701ac1b4ce5007ddab715e246e27a356ec62aa440b140,0,False,External PRASA contract master exists but is header-only; does not close PRASA contract export.
prasa,PARTIAL,manifest_only_documentary_support,/Users/jotaele/Documents/Financials/2024/CER/FY2024 PRASA CER_Final.pdf,,True,3577630,c07a004100fce2b3757ec84180f0742b1831cbc804b06a8402fec24cd8663a44,,False,PRASA support exists; vendor-level contract master remains header-only.
prasa,PARTIAL,manifest_only_documentary_support,/Users/jotaele/Documents/Financials/2024/ACT/transicion2024_archive/files/by_agency/163/Informe_Inventario_de_Propiedad/Inventario_Activos_AAA_hasta_2024.xlsx,,True,10634882,5d7316fc76d97db675d5a2f0d8fc4723a94fe7cc698d43a60cfd368662526dd0,,False,PRASA asset inventory exists; not a PRASA contract export.
hud_drgr_authorized,PARTIAL_UNRESOLVED,manifest_only_not_authorized_export,/Users/jotaele/Documents/Financials/Documents/contractdata/data/normalized/hud_drgr_projects.parquet,,True,6220,998a3e4708421863bddad70a402af9da0f500bf6dd97386da63355409dd12134,,False,DRGR-shaped artifact is zero-row and does not prove authorized export delivery.
hud_drgr_authorized,PARTIAL_UNRESOLVED,manifest_only_not_authorized_export,/Users/jotaele/Documents/Financials/Documents/contractdata/data/normalized/hud_drgr_responsible_orgs_resolved.parquet,,True,3546,ecaa80f0ae6f3b300975235f66bb926dcec4987fc3347fe5ef4aab4c56d01bd5,,False,DRGR responsible-org artifact is zero-row and does not prove authorized export delivery.
hud_drgr_authorized,PARTIAL_UNRESOLVED,manifest_only_not_authorized_export,/Users/jotaele/Documents/Financials/Documents/contractdata/data/staging/processed/pr_hud_hcv.csv,,True,336,e421ef85cd8e74eb3b9ed2be252875f8bc94e9b5cb0f5c15d7487a3d25483eb0,2,False,HUD HCV/Section 8 rows exist; this is not an authorized DRGR activity/project export.
