source_id,family,required,authentication,expected_output_count,present_count,local_rows,local_status,materiality_tier,materiality_label,coverage_status,certification_status,first_expected_output
usaspending_prime,federal,True,none,2,2,606992,fully_materialized,bulk,substantial,unverifiable,provisional,data/staging/processed/pr_contracts_master.csv
sam_entities,entity_resolution,True,none,2,2,110046,fully_materialized,bulk,substantial,unverifiable,provisional,data/staging/processed/enrichment/vendor_uei_index.csv
fema_pa_openfema_v2,federal,True,none,1,1,21868,fully_materialized,bulk,substantial,unverifiable,provisional,data/staging/processed/pr_fema_pa_master.csv
ofac_sdn,entity_resolution,False,none,1,1,19050,fully_materialized,bulk,substantial,uncontracted,provisional,data/staging/processed/pr_ofac_sdn.csv
lda,lobbying,True,none,14,14,17634,fully_materialized,bulk,substantial,unverifiable,provisional,data/staging/processed/lda_registrants.csv
fec,political_finance,True,api_key:FEC_API_KEY,1,1,16637,fully_materialized,bulk,substantial,unverifiable,provisional,data/staging/processed/pr_fec_contributions.csv
usaspending_subawards,federal,True,none,2,2,13111,fully_materialized,bulk,substantial,unverifiable,provisional,data/staging/processed/pr_subawards_master.csv
dcaa_active_contractors,manual_export,False,manual_export,1,1,8361,fully_materialized,bulk,substantial,uncontracted,provisional,data/staging/processed/pr_active_contractors.csv
hud_cdbg_dr_public,federal,True,none,1,1,7700,fully_materialized,bulk,substantial,unverifiable,provisional,data/staging/processed/pr_cdbg_dr_master.csv
fsrs_subawards,federal,True,none,1,1,7122,fully_materialized,bulk,substantial,unverifiable,provisional,data/staging/processed/pr_fsrs_subawards.csv
contralor_electoral,political_finance,False,manual_export,1,1,6480,fully_materialized,bulk,substantial,uncontracted,provisional,data/staging/processed/pr_oce_donations.csv
research_grants,federal,False,none,1,1,4946,fully_materialized,bulk,substantial,uncontracted,provisional,data/staging/processed/pr_research_master.csv
donaciones_pr,political_finance,False,manual_export,1,1,4579,fully_materialized,bulk,substantial,below_contract,uncertified,data/staging/processed/pr_donaciones.csv
fred_timeseries,federal,False,api_key:FRED_API_KEY,1,1,2131,fully_materialized,bulk,substantial,uncontracted,provisional,data/staging/processed/pr_fred_timeseries.csv
fdic,federal,False,none,2,2,2130,fully_materialized,bulk,substantial,uncontracted,provisional,data/staging/processed/pr_fdic_financials.csv
follow_the_money,political_finance,False,manual_export,3,3,1497,fully_materialized,bulk,substantial,uncontracted,provisional,data/staging/processed/pr_sf133_budget_execution.csv
acuden_2024_transition,manual_export,False,manual_export,1,1,1147,fully_materialized,bulk,validated_complete,meets_contract,provisional,data/staging/processed/pr_acuden_transition.csv
usda_grants,federal,False,none,1,1,688,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_usda_master.csv
act_transition_contracts,manual_export,False,manual_export,1,1,656,fully_materialized,moderate,validated_complete,meets_contract,provisional,data/staging/processed/pr_act_transition_contracts.csv
epa_grants,federal,False,none,1,1,631,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_epa_master.csv
eia_power_sector,federal,False,api_key:EIA_API_KEY,1,1,615,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_eia_power_sector.csv
gleif_lei,entity_resolution,False,none,2,2,567,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_gleif_entities.csv
wioa,federal,False,none,1,1,444,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_wioa_grants.csv
doj_grants,federal,False,none,1,1,419,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_doj_grants_master.csv
ed_grants,federal,False,none,1,1,379,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_ed_master.csv
dot_grants,federal,False,none,1,1,376,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_dot_master.csv
oia_grants,federal,False,none,1,1,364,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_oia_master.csv
hhs_grants,federal,False,none,1,1,307,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_hhs_master.csv
slfrf,federal,False,none,1,1,200,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_slfrf_master.csv
doe_grants,federal,False,none,1,1,180,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_doe_master.csv
sec_edgar,federal,False,none,2,2,171,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_sec_companies.csv
nih_reporter,federal,False,none,1,1,103,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_nih_grants.csv
medicaid_fmap,federal,False,none,1,1,89,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_medicaid_fmap.csv
oficina_contralor,territorial,True,none,1,1,85,fully_materialized,moderate,partial,unverifiable,provisional,data/staging/processed/pr_contralor_audits.csv
sec_officers,entity_resolution,False,none,1,1,85,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_sec_officers.csv
snap_nap,federal,False,none,1,1,61,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_snap_nap.csv
sec_13f_nport,federal,False,none,1,1,54,fully_materialized,moderate,partial,uncontracted,provisional,data/staging/processed/pr_sec_holdings.csv
emma_bonds,bonds,True,none,2,2,35,fully_materialized,seed_stub,seed,unverifiable,provisional,data/staging/processed/pr_emma_bonds.csv
fema_hmgp,federal,False,none,1,1,25,fully_materialized,seed_stub,seed,unverifiable,provisional,data/staging/processed/pr_fema_hmgp_master.csv
promesa_creditors,territorial,False,none,1,1,16,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_promesa_creditors.csv
hacienda,territorial,False,none,1,1,8,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_hacienda_revenues.csv
prepa_luma_genera,infrastructure,False,none,1,1,8,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_prepa_contracts.csv
rum_cover_over,territorial,False,none,1,1,7,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_rum_coverover.csv
ssa,federal,False,none,1,1,6,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_ssa_benefits.csv
va_benefits,federal,False,none,1,1,6,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_va_benefits.csv
cofina,territorial,False,none,1,1,5,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_cofina.csv
gao_ig_audits,federal,False,none,1,1,5,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_gao_ig_reports.csv
medicare_advantage,federal,False,none,1,1,5,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_medicare_advantage.csv
municipal_finance,municipal,False,api_key:FAC_API_KEY,1,1,5,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_municipal_finance.csv
p3_authority,territorial,False,none,1,1,5,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_p3_contracts.csv
pr_act_60_decrees,territorial,False,none,1,1,5,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_act60_decrees.csv
aafaf,territorial,False,none,1,1,4,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_aafaf_budget.csv
chip,federal,False,none,1,1,4,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_chip.csv
fcc_usf,federal,False,none,1,1,4,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_fcc_usf.csv
medicare_parts,federal,False,none,1,1,4,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_medicare_parts.csv
ncua,federal,False,none,1,1,4,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_ncua_credit_unions.csv
pr_pensions,territorial,False,none,1,1,4,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_pension_funds.csv
wic,federal,False,none,1,1,4,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_wic.csv
dol_whd_osha,federal,False,none,1,1,3,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_dol_enforcement.csv
fhlb,federal,False,none,1,1,3,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_fhlb_advances.csv
nonprofits_irs990,federal,False,none,1,1,3,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_nonprofits.csv
usace_civil_works,federal,False,none,1,1,3,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_usace_civil_master.csv
hud_hcv_section8,federal,False,none,1,1,2,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_hud_hcv.csv
sba_loans,federal,False,none,1,1,2,fully_materialized,seed_stub,seed,uncontracted,provisional,data/staging/processed/pr_sba_loans_master.csv
act_toll_revenue,infrastructure_revenue,False,manual_export,1,0,0,not_materialized,empty,empty,uncontracted,uncertified,data/staging/processed/pr_act_toll_revenue.csv
act_tolls_concession,infrastructure,False,manual_export,1,0,0,not_materialized,empty,empty,uncontracted,uncertified,data/staging/processed/pr_act_tolls.csv
ases_plan_vital,territorial,False,manual_export,1,0,0,not_materialized,empty,empty,uncontracted,uncertified,data/staging/processed/pr_ases_contracts.csv
asg_emergency_purchases,territorial,False,none,1,0,0,not_materialized,empty,empty,below_contract,uncertified,data/staging/processed/pr_asg_emergency_purchases.csv
asg_suppliers,entity_resolution,False,none,1,0,0,not_materialized,empty,empty,below_contract,uncertified,data/staging/processed/pr_asg_suppliers.csv
bde_loans,territorial,False,manual_export,1,0,0,not_materialized,empty,empty,uncontracted,uncertified,data/staging/processed/pr_bde_loans.csv
